Produto,Grupo,Categoria
Abacate,Frutas,Fruta Fresca
Abacaxi*,Frutas,Fruta Fresca
Açaí,Frutas,Fruta Fresca
Algodão arbóreo (em caroço),Fibras,Fibra Têxtil
Algodão herbáceo (em caroço),Fibras,Fibra Têxtil
Alho,Hortaliças,Bulbo
Amendoim (em casca),Leguminosas/Oleaginosas,Grão Oleaginoso
Arroz (em casca),Grãos e Cereais,Cereal
Aveia (em grão),Grãos e Cereais,Cereal
Azeitona,Frutas,Fruta Oleaginosa
Banana (cacho),Frutas,Fruta Fresca
Batata-doce,Hortaliças,Raiz Tuberosa
Batata-inglesa,Hortaliças,Tubérculo
Borracha (látex coagulado),Lavouras Industriais,Látex
Cacau (em amêndoa),Estimulantes/Bebidas,Semente
Café (em grão) Arábica,Estimulantes/Bebidas,Grão
Café (em grão) Canephora,Estimulantes/Bebidas,Grão
Cana-de-açúcar,Lavouras Industriais,Colmo (Açúcar e Etanol)
Caqui,Frutas,Fruta Fresca
Castanha de caju,Frutos Secos e Sementes,Fruto Seco
Cebola,Hortaliças,Bulbo
Centeio (em grão),Grãos e Cereais,Cereal
Cevada (em grão),Grãos e Cereais,Cereal
Chá-da-índia (folha verde),Estimulantes/Bebidas,Folha
Coco-da-baía*,Frutas,Fruta Fresca
Dendê (cacho de coco),Oleaginosas,Fruto Oleaginoso
Erva-mate (folha verde),Estimulantes/Bebidas,Folha
Ervilha (em grão),Leguminosas,Grão
Fava (em grão),Leguminosas,Grão
Feijão (em grão),Leguminosas,Grão
Figo,Frutas,Fruta Fresca
Fumo (em folha),Lavouras Industriais,Folha
Girassol (em grão),Oleaginosas,Grão Oleaginoso
Goiaba,Frutas,Fruta Fresca
Guaraná (semente),Estimulantes/Bebidas,Semente
Juta (fibra),Fibras,Fibra Têxtil
Laranja,Frutas,Fruta Cítrica
Limão,Frutas,Fruta Cítrica
Linho (semente),Oleaginosas,Semente Oleaginosa
Maçã,Frutas,Fruta Fresca
Malva (fibra),Fibras,Fibra Têxtil
Mamão,Frutas,Fruta Fresca
Mamona (baga),Oleaginosas,Baga Oleaginosa
Mandioca,Hortaliças,Raiz Tuberosa
Manga,Frutas,Fruta Fresca
Maracujá,Frutas,Fruta Fresca
Marmelo,Frutas,Fruta Fresca
Melancia,Frutas,Fruta Fresca
Melão,Frutas,Fruta Fresca
Milho (em grão),Grãos e Cereais,Cereal
Noz (fruto seco),Frutos Secos e Sementes,Fruto Seco
Palmito,Hortaliças,Caule/Broto
Pera,Frutas,Fruta Fresca
Pêssego,Frutas,Fruta Fresca
Pimenta-do-reino,Especiarias,Semente
Sisal ou agave (fibra),Fibras,Fibra Têxtil
Soja (em grão),Leguminosas/Oleaginosas,Grão Oleaginoso
Sorgo (em grão),Grãos e Cereais,Cereal
Tangerina,Frutas,Fruta Cítrica
Tomate,Hortaliças,Fruto Hortícola
Trigo (em grão),Grãos e Cereais,Cereal
Triticale (em grão),Grãos e Cereais,Cereal
Tungue (fruto seco),Oleaginosas,Fruto Oleaginoso
Urucum (semente),Corantes e Especiarias,Semente
Uva,Frutas,Fruta Fresca